Season,Week,Contestant,Rank_System_Place,Percent_System_Place,Diff
10,3,Niecy Nash,4.5,4.5,0.0
10,3,Buzz Aldrin,10.0,10.0,0.0
10,3,Chad Ochocinco,7.5,7.5,0.0
10,3,Evan Lysacek,1.0,1.0,0.0
10,3,Pamela Anderson,4.5,4.5,0.0
10,3,Nicole Scherzinger,2.5,2.5,0.0
10,3,Erin Andrews,2.5,2.5,0.0
10,3,Kate Gosselin,9.0,9.0,0.0
10,3,Jake Pavelka,6.0,6.0,0.0
10,4,Aiden Turner,8.5,9.0,-0.5
10,4,Niecy Nash,7.0,7.0,0.0
10,4,Chad Ochocinco,4.0,4.0,0.0
10,4,Evan Lysacek,1.0,1.0,0.0
10,4,Pamela Anderson,3.0,3.0,0.0
10,4,Nicole Scherzinger,2.0,2.0,0.0
10,4,Erin Andrews,5.0,5.0,0.0
10,4,Kate Gosselin,8.5,8.0,0.5
10,4,Jake Pavelka,6.0,6.0,0.0
10,5,Niecy Nash,6.5,6.5,0.0
10,5,Chad Ochocinco,6.5,6.5,0.0
10,5,Evan Lysacek,2.0,2.0,0.0
10,5,Pamela Anderson,5.0,5.0,0.0
10,5,Nicole Scherzinger,1.0,1.0,0.0
10,5,Erin Andrews,4.0,4.0,0.0
10,5,Kate Gosselin,8.0,8.0,0.0
10,5,Jake Pavelka,3.0,3.0,0.0
10,6,Niecy Nash,6.0,6.0,0.0
10,6,Chad Ochocinco,3.0,3.0,0.0
10,6,Evan Lysacek,5.0,5.0,0.0
10,6,Pamela Anderson,4.0,4.0,0.0
10,6,Nicole Scherzinger,1.0,1.0,0.0
10,6,Erin Andrews,2.0,2.0,0.0
10,6,Jake Pavelka,7.0,7.0,0.0
10,7,Niecy Nash,4.0,5.0,-1.0
10,7,Chad Ochocinco,3.0,3.0,0.0
10,7,Evan Lysacek,1.5,1.5,0.0
10,7,Pamela Anderson,6.0,6.0,0.0
10,7,Nicole Scherzinger,1.5,1.5,0.0
10,7,Erin Andrews,5.0,4.0,1.0
10,8,Niecy Nash,5.0,5.0,0.0
10,8,Chad Ochocinco,4.0,4.0,0.0
10,8,Evan Lysacek,2.5,2.5,0.0
10,8,Nicole Scherzinger,1.0,1.0,0.0
10,8,Erin Andrews,2.5,2.5,0.0
10,9,Chad Ochocinco,4.0,4.0,0.0
10,9,Evan Lysacek,2.0,2.0,0.0
10,9,Nicole Scherzinger,1.0,1.0,0.0
10,9,Erin Andrews,3.0,3.0,0.0
11,1,David Hasselhoff,12.0,12.0,0.0
11,1,Florence Henderson,8.0,8.0,0.0
11,1,Kyle Massey,2.5,2.5,0.0
11,1,Jennifer Grey,1.0,1.0,0.0
11,1,Rick Fox,4.0,4.0,0.0
11,1,Kurt Warner,5.5,5.5,0.0
11,1,Margaret Cho,10.5,10.5,0.0
11,1,Michael Bolton,9.0,9.0,0.0
11,1,Brandy,2.5,2.5,0.0
11,1,The Situation,10.5,10.5,0.0
11,1,Audrina Patridge,5.5,5.5,0.0
11,1,Bristol Palin,7.0,7.0,0.0
11,2,Florence Henderson,8.0,8.0,0.0
11,2,Kyle Massey,3.5,3.5,0.0
11,2,Jennifer Grey,1.0,1.0,0.0
11,2,Rick Fox,6.0,6.0,0.0
11,2,Kurt Warner,6.0,6.0,0.0
11,2,Margaret Cho,9.5,9.5,0.0
11,2,Michael Bolton,11.0,11.0,0.0
11,2,Brandy,6.0,6.0,0.0
11,2,The Situation,9.5,9.5,0.0
11,2,Audrina Patridge,2.0,2.0,0.0
11,2,Bristol Palin,3.5,3.5,0.0
11,3,Florence Henderson,7.5,7.5,0.0
11,3,Kyle Massey,6.0,6.0,0.0
11,3,Jennifer Grey,3.0,3.0,0.0
11,3,Rick Fox,3.0,3.0,0.0
11,3,Kurt Warner,5.0,5.0,0.0
11,3,Margaret Cho,10.0,10.0,0.0
11,3,Brandy,3.0,3.0,0.0
11,3,The Situation,7.5,7.5,0.0
11,3,Audrina Patridge,1.0,1.0,0.0
11,3,Bristol Palin,9.0,9.0,0.0
11,4,Florence Henderson,6.0,6.0,0.0
11,4,Kyle Massey,4.0,4.0,0.0
11,4,Jennifer Grey,1.0,1.0,0.0
11,4,Rick Fox,5.0,5.0,0.0
11,4,Kurt Warner,7.0,7.0,0.0
11,4,Brandy,2.0,2.0,0.0
11,4,The Situation,9.0,9.0,0.0
11,4,Audrina Patridge,3.0,3.0,0.0
11,4,Bristol Palin,8.0,8.0,0.0
11,5,Florence Henderson,7.5,8.0,-0.5
11,5,Kyle Massey,7.5,6.0,1.5
11,5,Jennifer Grey,2.0,2.0,0.0
11,5,Rick Fox,4.0,4.0,0.0
11,5,Kurt Warner,3.0,3.0,0.0
11,5,Brandy,1.0,1.0,0.0
11,5,Audrina Patridge,5.5,5.0,0.5
11,5,Bristol Palin,5.5,7.0,-1.5
11,6,Kyle Massey,3.5,3.0,0.5
11,6,Jennifer Grey,6.0,4.0,2.0
11,6,Rick Fox,2.0,2.0,0.0
11,6,Kurt Warner,3.5,6.0,-2.5
11,6,Brandy,1.0,1.0,0.0
11,6,Audrina Patridge,5.0,7.0,-2.0
11,6,Bristol Palin,7.0,5.0,2.0
11,7,Kyle Massey,5.5,5.0,0.5
11,7,Jennifer Grey,2.0,2.0,0.0
11,7,Rick Fox,5.5,6.0,-0.5
11,7,Kurt Warner,3.5,3.0,0.5
11,7,Brandy,1.0,1.0,0.0
11,7,Bristol Palin,3.5,4.0,-0.5
11,8,Kyle Massey,3.0,3.0,0.0
11,8,Jennifer Grey,1.5,1.5,0.0
11,8,Kurt Warner,4.5,5.0,-0.5
11,8,Brandy,1.5,1.5,0.0
11,8,Bristol Palin,4.5,4.0,0.5
11,9,Kyle Massey,2.5,2.0,0.5
11,9,Jennifer Grey,1.0,1.0,0.0
11,9,Brandy,4.0,4.0,0.0
11,9,Bristol Palin,2.5,3.0,-0.5
12,2,Ralph Macchio,4.0,4.0,0.0
12,2,Chelsea Kane,7.5,7.5,0.0
12,2,Kirstie Alley,5.0,5.0,0.0
12,2,Hines Ward,1.0,1.0,0.0
12,2,Sugar Ray Leonard,9.5,9.5,0.0
12,2,Chris Jericho,2.0,2.0,0.0
12,2,Petra Nemcova,7.5,7.5,0.0
12,2,Mike Catherwood,11.0,11.0,0.0
12,2,Romeo,3.0,3.0,0.0
12,2,Wendy Williams,9.5,9.5,0.0
12,2,Kendra Wilkinson,6.0,6.0,0.0
12,3,Ralph Macchio,6.0,6.0,0.0
12,3,Chelsea Kane,4.0,4.0,0.0
12,3,Kirstie Alley,6.0,6.0,0.0
12,3,Hines Ward,1.5,1.5,0.0
12,3,Sugar Ray Leonard,8.5,8.5,0.0
12,3,Chris Jericho,6.0,6.0,0.0
12,3,Petra Nemcova,1.5,1.5,0.0
12,3,Romeo,8.5,8.5,0.0
12,3,Wendy Williams,10.0,10.0,0.0
12,3,Kendra Wilkinson,3.0,3.0,0.0
12,4,Ralph Macchio,2.5,2.5,0.0
12,4,Chelsea Kane,1.0,1.0,0.0
12,4,Kirstie Alley,8.0,7.0,1.0
12,4,Hines Ward,2.5,2.5,0.0
12,4,Sugar Ray Leonard,9.0,9.0,0.0
12,4,Chris Jericho,6.0,6.0,0.0
12,4,Petra Nemcova,4.5,4.5,0.0
12,4,Romeo,4.5,4.5,0.0
12,4,Kendra Wilkinson,7.0,8.0,-1.0
12,5,Ralph Macchio,6.5,6.5,0.0
12,5,Chelsea Kane,4.0,4.0,0.0
12,5,Kirstie Alley,5.0,5.0,0.0
12,5,Hines Ward,1.0,1.0,0.0
12,5,Chris Jericho,2.5,2.5,0.0
12,5,Petra Nemcova,8.0,8.0,0.0
12,5,Romeo,2.5,2.5,0.0
12,5,Kendra Wilkinson,6.5,6.5,0.0
12,6,Ralph Macchio,6.0,6.0,0.0
12,6,Chelsea Kane,1.5,1.5,0.0
12,6,Kirstie Alley,4.0,4.0,0.0
12,6,Hines Ward,3.0,3.0,0.0
12,6,Chris Jericho,7.0,7.0,0.0
12,6,Romeo,1.5,1.5,0.0
12,6,Kendra Wilkinson,5.0,5.0,0.0
12,7,Ralph Macchio,1.0,1.0,0.0
12,7,Chelsea Kane,3.0,3.0,0.0
12,7,Kirstie Alley,5.0,4.5,0.5
12,7,Hines Ward,2.0,2.0,0.0
12,7,Romeo,5.0,4.5,0.5
12,7,Kendra Wilkinson,5.0,6.0,-1.0
12,8,Ralph Macchio,3.0,4.0,-1.0
12,8,Chelsea Kane,1.0,1.0,0.0
12,8,Kirstie Alley,4.0,3.0,1.0
12,8,Hines Ward,2.0,2.0,0.0
12,8,Romeo,5.0,5.0,0.0
12,9,Ralph Macchio,4.0,4.0,0.0
12,9,Chelsea Kane,1.0,1.0,0.0
12,9,Kirstie Alley,3.0,3.0,0.0
12,9,Hines Ward,2.0,2.0,0.0
13,1,Elisabetta Canalis,11.0,11.0,0.0
13,1,David Arquette,6.0,6.0,0.0
13,1,Ricki Lake,4.0,4.0,0.0
13,1,J.R. Martinez,1.5,1.5,0.0
13,1,Metta World Peace (Ron),12.0,12.0,0.0
13,1,Hope Solo,3.0,3.0,0.0
13,1,Chynna Phillips,1.5,1.5,0.0
13,1,Kristin Cavallari,5.0,5.0,0.0
13,1,Carson Kressley,7.5,7.5,0.0
13,1,Chaz Bono,7.5,7.5,0.0
13,1,Nancy Grace,9.5,9.5,0.0
13,1,Rob Kardashian,9.5,9.5,0.0
13,2,Elisabetta Canalis,8.0,11.0,-3.0
13,2,David Arquette,10.0,9.5,0.5
13,2,Ricki Lake,1.0,1.0,0.0
13,2,J.R. Martinez,2.5,2.5,0.0
13,2,Hope Solo,10.0,7.0,3.0
13,2,Chynna Phillips,4.0,4.0,0.0
13,2,Kristin Cavallari,2.5,2.5,0.0
13,2,Carson Kressley,10.0,9.5,0.5
13,2,Chaz Bono,6.0,8.0,-2.0
13,2,Nancy Grace,6.0,5.5,0.5
13,2,Rob Kardashian,6.0,5.5,0.5
13,3,David Arquette,6.5,5.5,1.0
13,3,Ricki Lake,1.0,1.0,0.0
13,3,J.R. Martinez,3.0,3.0,0.0
13,3,Hope Solo,6.5,5.5,1.0
13,3,Chynna Phillips,2.0,2.0,0.0
13,3,Kristin Cavallari,8.0,10.0,-2.0
13,3,Carson Kressley,9.0,7.0,2.0
13,3,Chaz Bono,5.0,8.0,-3.0
13,3,Nancy Grace,10.0,9.0,1.0
13,3,Rob Kardashian,4.0,4.0,0.0
13,4,David Arquette,5.0,5.0,0.0
13,4,Ricki Lake,1.0,1.0,0.0
13,4,J.R. Martinez,2.0,2.0,0.0
13,4,Hope Solo,3.0,3.0,0.0
13,4,Chynna Phillips,9.0,9.0,0.0
13,4,Carson Kressley,8.0,8.0,0.0
13,4,Chaz Bono,6.5,6.5,0.0
13,4,Nancy Grace,6.5,6.5,0.0
13,4,Rob Kardashian,4.0,4.0,0.0
13,5,David Arquette,2.5,2.5,0.0
13,5,Ricki Lake,4.5,4.5,0.0
13,5,J.R. Martinez,1.0,1.0,0.0
13,5,Hope Solo,4.5,4.5,0.0
13,5,Carson Kressley,8.0,8.0,0.0
13,5,Chaz Bono,7.0,7.0,0.0
13,5,Nancy Grace,6.0,6.0,0.0
13,5,Rob Kardashian,2.5,2.5,0.0
13,6,David Arquette,4.0,4.0,0.0
13,6,Ricki Lake,1.5,1.5,0.0
13,6,J.R. Martinez,1.5,1.5,0.0
13,6,Hope Solo,6.0,6.0,0.0
13,6,Chaz Bono,7.0,7.0,0.0
13,6,Nancy Grace,3.0,3.0,0.0
13,6,Rob Kardashian,5.0,5.0,0.0
13,7,David Arquette,6.0,6.0,0.0
13,7,Ricki Lake,1.0,1.0,0.0
13,7,J.R. Martinez,4.5,4.0,0.5
13,7,Hope Solo,3.0,3.0,0.0
13,7,Nancy Grace,4.5,5.0,-0.5
13,7,Rob Kardashian,2.0,2.0,0.0
13,8,Ricki Lake,2.5,2.5,0.0
13,8,J.R. Martinez,1.0,1.0,0.0
13,8,Hope Solo,2.5,2.5,0.0
13,8,Nancy Grace,5.0,5.0,0.0
13,8,Rob Kardashian,4.0,4.0,0.0
13,9,Ricki Lake,1.0,1.0,0.0
13,9,J.R. Martinez,3.0,3.0,0.0
13,9,Hope Solo,4.0,4.0,0.0
13,9,Rob Kardashian,2.0,2.0,0.0
14,2,William Levy,3.0,3.0,0.0
14,2,Jack Wagner,9.0,9.0,0.0
14,2,Sherri Sheperd,6.0,6.0,0.0
14,2,Jaleel White,7.0,7.0,0.0
14,2,Roshon Fegan,1.0,1.0,0.0
14,2,Melissa Gilbert,10.0,10.0,0.0
14,2,Martina Navratilova,12.0,12.0,0.0
14,2,Donald Driver,5.0,5.0,0.0
14,2,Gavin DeGraw,8.0,8.0,0.0
14,2,Gladys Knight,11.0,11.0,0.0
14,2,Katherine Jenkins,2.0,2.0,0.0
14,2,Maria Menounos,4.0,4.0,0.0
14,3,William Levy,2.0,2.0,0.0
14,3,Jack Wagner,11.0,11.0,0.0
14,3,Sherri Sheperd,8.5,8.5,0.0
14,3,Jaleel White,5.5,5.5,0.0
14,3,Roshon Fegan,5.5,5.5,0.0
14,3,Melissa Gilbert,8.5,8.5,0.0
14,3,Donald Driver,4.0,4.0,0.0
14,3,Gavin DeGraw,8.5,8.5,0.0
14,3,Gladys Knight,8.5,8.5,0.0
14,3,Katherine Jenkins,1.0,1.0,0.0
14,3,Maria Menounos,3.0,3.0,0.0
14,4,William Levy,6.5,6.5,0.0
14,4,Sherri Sheperd,10.0,10.0,0.0
14,4,Jaleel White,6.5,6.5,0.0
14,4,Roshon Fegan,3.0,3.0,0.0
14,4,Melissa Gilbert,8.5,8.0,0.5
14,4,Donald Driver,1.0,1.0,0.0
14,4,Gavin DeGraw,5.0,5.0,0.0
14,4,Gladys Knight,8.5,9.0,-0.5
14,4,Katherine Jenkins,4.0,4.0,0.0
14,4,Maria Menounos,2.0,2.0,0.0
14,5,William Levy,1.5,1.5,0.0
14,5,Jaleel White,6.0,6.0,0.0
14,5,Roshon Fegan,5.0,5.0,0.0
14,5,Melissa Gilbert,8.0,8.0,0.0
14,5,Donald Driver,3.0,3.0,0.0
14,5,Gavin DeGraw,9.0,9.0,0.0
14,5,Gladys Knight,7.0,7.0,0.0
14,5,Katherine Jenkins,1.5,1.5,0.0
14,5,Maria Menounos,4.0,4.0,0.0
14,6,William Levy,3.0,3.0,0.0
14,6,Jaleel White,2.0,2.0,0.0
14,6,Roshon Fegan,7.0,7.0,0.0
14,6,Melissa Gilbert,5.0,5.0,0.0
14,6,Donald Driver,4.0,4.0,0.0
14,6,Gladys Knight,8.0,8.0,0.0
14,6,Katherine Jenkins,1.0,1.0,0.0
14,6,Maria Menounos,6.0,6.0,0.0
14,7,William Levy,3.5,3.5,0.0
14,7,Jaleel White,7.0,7.0,0.0
14,7,Roshon Fegan,6.0,5.0,1.0
14,7,Melissa Gilbert,5.0,6.0,-1.0
14,7,Donald Driver,3.5,3.5,0.0
14,7,Katherine Jenkins,2.0,2.0,0.0
14,7,Maria Menounos,1.0,1.0,0.0
14,8,William Levy,1.0,1.0,0.0
14,8,Roshon Fegan,5.0,6.0,-1.0
14,8,Melissa Gilbert,3.0,4.5,-1.5
14,8,Donald Driver,3.0,2.5,0.5
14,8,Katherine Jenkins,3.0,2.5,0.5
14,8,Maria Menounos,6.0,4.5,1.5
14,9,William Levy,2.5,1.0,1.5
14,9,Donald Driver,2.5,2.5,0.0
14,9,Katherine Jenkins,2.5,2.5,0.0
14,9,Maria Menounos,2.5,4.0,-1.5
15,1,Gilles Marini,2.0,2.0,0.0
15,1,Sabrina Bryan,3.0,3.0,0.0
15,1,Kirstie Alley,12.0,12.0,0.0
15,1,Kelly Monaco,7.0,7.0,0.0
15,1,Apolo Anton Ohno,5.0,5.0,0.0
15,1,Emmitt Smith,1.0,1.0,0.0
15,1,Shawn Johnson,4.0,4.0,0.0
15,1,Pamela Anderson,13.0,13.0,0.0
15,1,Helio Castroneves,7.0,7.0,0.0
15,1,Joey Fatone,10.0,10.0,0.0
15,1,Drew Lachey,7.0,7.0,0.0
15,1,Bristol Palin,11.0,11.0,0.0
15,1,Melissa Rycroft,9.0,9.0,0.0
15,2,Gilles Marini,2.0,2.0,0.0
15,2,Sabrina Bryan,1.0,1.0,0.0
15,2,Kirstie Alley,12.0,10.0,2.0
15,2,Kelly Monaco,10.5,9.0,1.5
15,2,Apolo Anton Ohno,4.0,4.0,0.0
15,2,Emmitt Smith,9.0,8.0,1.0
15,2,Shawn Johnson,3.0,3.0,0.0
15,2,Helio Castroneves,6.5,6.0,0.5
15,2,Joey Fatone,10.5,12.0,-1.5
15,2,Drew Lachey,8.0,7.0,1.0
15,2,Bristol Palin,6.5,11.0,-4.5
15,2,Melissa Rycroft,5.0,5.0,0.0
15,3,Gilles Marini,5.0,5.0,0.0
15,3,Sabrina Bryan,5.0,5.0,0.0
15,3,Kirstie Alley,10.5,8.5,2.0
15,3,Kelly Monaco,2.0,2.0,0.0
15,3,Apolo Anton Ohno,5.0,5.0,0.0
15,3,Emmitt Smith,8.0,7.0,1.0
15,3,Shawn Johnson,3.0,3.0,0.0
15,3,Helio Castroneves,9.0,11.0,-2.0
15,3,Drew Lachey,10.5,8.5,2.0
15,3,Bristol Palin,7.0,10.0,-3.0
15,3,Melissa Rycroft,1.0,1.0,0.0
15,4,Gilles Marini,2.0,2.0,0.0
15,4,Sabrina Bryan,6.0,6.0,0.0
15,4,Kirstie Alley,8.5,8.0,0.5
15,4,Kelly Monaco,3.0,3.0,0.0
15,4,Apolo Anton Ohno,7.0,7.0,0.0
15,4,Emmitt Smith,5.0,5.0,0.0
15,4,Shawn Johnson,1.0,1.0,0.0
15,4,Bristol Palin,8.5,9.0,-0.5
15,4,Melissa Rycroft,4.0,4.0,0.0
15,6,Gilles Marini,7.0,4.5,2.5
15,6,Sabrina Bryan,5.0,8.0,-3.0
15,6,Kirstie Alley,7.0,4.5,2.5
15,6,Kelly Monaco,3.5,6.5,-3.0
15,6,Apolo Anton Ohno,1.0,1.0,0.0
15,6,Emmitt Smith,3.5,6.5,-3.0
15,6,Shawn Johnson,7.0,3.0,4.0
15,6,Melissa Rycroft,2.0,2.0,0.0
15,8,Gilles Marini,5.0,7.0,-2.0
15,8,Kirstie Alley,3.5,6.0,-2.5
15,8,Kelly Monaco,6.0,4.0,2.0
15,8,Apolo Anton Ohno,2.0,2.0,0.0
15,8,Emmitt Smith,3.5,3.0,0.5
15,8,Shawn Johnson,7.0,5.0,2.0
15,8,Melissa Rycroft,1.0,1.0,0.0
15,9,Kelly Monaco,3.5,4.0,-0.5
15,9,Apolo Anton Ohno,5.0,5.0,0.0
15,9,Emmitt Smith,3.5,3.0,0.5
15,9,Shawn Johnson,1.0,1.0,0.0
15,9,Melissa Rycroft,2.0,2.0,0.0
16,3,Ingo Rademacher,7.5,6.5,1.0
16,3,Zendaya,1.5,1.5,0.0
16,3,Dorothy Hamill,6.0,11.0,-5.0
16,3,Victor Ortiz,4.5,4.5,0.0
16,3,Alexandra Raisman,4.5,4.5,0.0
16,3,Jacoby Jones,1.5,1.5,0.0
16,3,D. L. Hughley,11.0,10.0,1.0
16,3,Andy Dick,10.0,9.0,1.0
16,3,Wynonna Judd,12.0,12.0,0.0
16,3,Kellie Pickler,3.0,3.0,0.0
16,3,Lisa Vanderpump,9.0,8.0,1.0
16,3,Sean Lowe,7.5,6.5,1.0
16,4,Ingo Rademacher,5.0,5.0,0.0
16,4,Zendaya,2.0,2.0,0.0
16,4,Dorothy Hamill,6.0,10.0,-4.0
16,4,Victor Ortiz,10.0,9.0,1.0
16,4,Alexandra Raisman,1.0,1.0,0.0
16,4,Jacoby Jones,4.0,4.0,0.0
16,4,D. L. Hughley,7.5,6.5,1.0
16,4,Andy Dick,7.5,6.5,1.0
16,4,Kellie Pickler,3.0,3.0,0.0
16,4,Lisa Vanderpump,11.0,11.0,0.0
16,4,Sean Lowe,9.0,8.0,1.0
16,5,Ingo Rademacher,8.0,7.0,1.0
16,5,Zendaya,1.0,1.0,0.0
16,5,Dorothy Hamill,5.5,9.0,-3.5
16,5,Victor Ortiz,7.0,6.0,1.0
16,5,Alexandra Raisman,4.0,4.0,0.0
16,5,Jacoby Jones,3.0,3.0,0.0
16,5,D. L. Hughley,10.0,10.0,0.0
16,5,Andy Dick,9.0,8.0,1.0
16,5,Kellie Pickler,2.0,2.0,0.0
16,5,Sean Lowe,5.5,5.0,0.5
16,6,Ingo Rademacher,4.0,4.0,0.0
16,6,Zendaya,3.0,3.0,0.0
16,6,Dorothy Hamill,5.0,8.0,-3.0
16,6,Victor Ortiz,9.0,9.0,0.0
16,6,Alexandra Raisman,2.0,2.0,0.0
16,6,Jacoby Jones,7.0,6.0,1.0
16,6,Andy Dick,8.0,7.0,1.0
16,6,Kellie Pickler,1.0,1.0,0.0
16,6,Sean Lowe,6.0,5.0,1.0
16,7,Ingo Rademacher,6.0,5.0,1.0
16,7,Zendaya,2.0,2.0,0.0
16,7,Dorothy Hamill,4.5,7.0,-2.5
16,7,Alexandra Raisman,1.0,1.0,0.0
16,7,Jacoby Jones,4.5,4.0,0.5
16,7,Andy Dick,8.0,8.0,0.0
16,7,Kellie Pickler,3.0,3.0,0.0
16,7,Sean Lowe,7.0,6.0,1.0
16,8,Ingo Rademacher,6.0,5.0,1.0
16,8,Zendaya,1.0,1.0,0.0
16,8,Dorothy Hamill,4.0,6.0,-2.0
16,8,Alexandra Raisman,2.0,2.0,0.0
16,8,Jacoby Jones,5.0,4.0,1.0
16,8,Kellie Pickler,3.0,3.0,0.0
16,8,Sean Lowe,7.0,7.0,0.0
16,9,Ingo Rademacher,6.0,6.0,0.0
16,9,Zendaya,5.0,4.0,1.0
16,9,Dorothy Hamill,3.5,5.0,-1.5
16,9,Alexandra Raisman,1.5,1.5,0.0
16,9,Jacoby Jones,1.5,1.5,0.0
16,9,Kellie Pickler,3.5,3.0,0.5
16,10,Zendaya,1.0,1.0,0.0
16,10,Dorothy Hamill,3.0,4.0,-1.0
16,10,Alexandra Raisman,4.5,5.0,-0.5
16,10,Jacoby Jones,4.5,3.0,1.5
16,10,Kellie Pickler,2.0,2.0,0.0
17,2,Valerie Harper,10.0,10.0,0.0
17,2,Brant Daugherty,7.0,7.0,0.0
17,2,Elizabeth Berkley Lauren,2.5,2.5,0.0
17,2,Leah Remini,6.0,6.0,0.0
17,2,Corbin Bleu,1.0,1.0,0.0
17,2,Amber Riley,4.0,4.0,0.0
17,2,Keyshawn Johnson,12.0,12.0,0.0
17,2,Bill Engvall,8.0,8.0,0.0
17,2,Christina Milian,2.5,2.5,0.0
17,2,"Nicole ""Snooki"" Polizzi",9.0,9.0,0.0
17,2,Jack Osbourne,5.0,5.0,0.0
17,2,Bill Nye,11.0,11.0,0.0
17,3,Valerie Harper,10.0,10.0,0.0
17,3,Brant Daugherty,1.0,1.0,0.0
17,3,Elizabeth Berkley Lauren,4.5,4.5,0.0
17,3,Leah Remini,7.0,7.0,0.0
17,3,Corbin Bleu,2.5,2.5,0.0
17,3,Amber Riley,7.0,7.0,0.0
17,3,Bill Engvall,7.0,7.0,0.0
17,3,Christina Milian,2.5,2.5,0.0
17,3,"Nicole ""Snooki"" Polizzi",4.5,4.5,0.0
17,3,Jack Osbourne,9.0,9.0,0.0
17,3,Bill Nye,11.0,11.0,0.0
17,4,Valerie Harper,10.0,10.0,0.0
17,4,Brant Daugherty,9.0,9.0,0.0
17,4,Elizabeth Berkley Lauren,2.0,2.0,0.0
17,4,Leah Remini,6.0,6.0,0.0
17,4,Corbin Bleu,2.0,2.0,0.0
17,4,Amber Riley,2.0,2.0,0.0
17,4,Bill Engvall,8.0,8.0,0.0
17,4,Christina Milian,4.0,4.0,0.0
17,4,"Nicole ""Snooki"" Polizzi",6.0,6.0,0.0
17,4,Jack Osbourne,6.0,6.0,0.0
17,5,Brant Daugherty,3.0,3.0,0.0
17,5,Elizabeth Berkley Lauren,7.0,5.0,2.0
17,5,Leah Remini,5.0,8.0,-3.0
17,5,Corbin Bleu,1.0,1.0,0.0
17,5,Amber Riley,9.0,6.0,3.0
17,5,Bill Engvall,8.0,7.0,1.0
17,5,Christina Milian,6.0,9.0,-3.0
17,5,"Nicole ""Snooki"" Polizzi",2.0,2.0,0.0
17,5,Jack Osbourne,4.0,4.0,0.0
17,7,Brant Daugherty,3.0,3.0,0.0
17,7,Elizabeth Berkley Lauren,6.0,5.0,1.0
17,7,Leah Remini,8.0,6.0,2.0
17,7,Corbin Bleu,2.0,2.0,0.0
17,7,Amber Riley,1.0,1.0,0.0
17,7,Bill Engvall,5.0,7.0,-2.0
17,7,"Nicole ""Snooki"" Polizzi",7.0,8.0,-1.0
17,7,Jack Osbourne,4.0,4.0,0.0
17,8,Brant Daugherty,6.5,7.0,-0.5
17,8,Elizabeth Berkley Lauren,6.5,5.5,1.0
17,8,Leah Remini,3.5,3.5,0.0
17,8,Corbin Bleu,2.0,2.0,0.0
17,8,Amber Riley,3.5,3.5,0.0
17,8,Bill Engvall,5.0,5.5,-0.5
17,8,Jack Osbourne,1.0,1.0,0.0
17,9,Elizabeth Berkley Lauren,5.0,6.0,-1.0
17,9,Leah Remini,4.0,3.0,1.0
17,9,Corbin Bleu,1.0,1.0,0.0
17,9,Amber Riley,6.0,4.0,2.0
17,9,Bill Engvall,3.0,5.0,-2.0
17,9,Jack Osbourne,2.0,2.0,0.0
17,10,Leah Remini,4.5,5.0,-0.5
17,10,Corbin Bleu,2.0,2.0,0.0
17,10,Amber Riley,1.0,1.0,0.0
17,10,Bill Engvall,4.5,4.0,0.5
17,10,Jack Osbourne,3.0,3.0,0.0
17,11,Corbin Bleu,2.0,2.0,0.0
17,11,Amber Riley,1.0,1.0,0.0
17,11,Bill Engvall,4.0,4.0,0.0
17,11,Jack Osbourne,3.0,3.0,0.0
18,2,Billy Dee Williams,12.0,10.0,2.0
18,2,Danica McKellar,5.0,5.0,0.0
18,2,James Maslow,1.0,1.0,0.0
18,2,Candace Cameron Bure,10.0,9.0,1.0
18,2,Sean Avery,11.0,12.0,-1.0
18,2,Diana Nyad,6.5,11.0,-4.5
18,2,Charlie White,2.0,2.0,0.0
18,2,Amy Purdy,4.0,4.0,0.0
18,2,Meryl Davis,3.0,3.0,0.0
18,2,Drew Carey,8.5,7.5,1.0
18,2,Cody Simpson,6.5,6.0,0.5
18,2,NeNe Leakes,8.5,7.5,1.0
18,5,Billy Dee Williams,5.0,9.0,-4.0
18,5,Danica McKellar,2.0,2.0,0.0
18,5,James Maslow,1.0,1.0,0.0
18,5,Candace Cameron Bure,8.0,7.0,1.0
18,5,Charlie White,3.5,3.5,0.0
18,5,Amy Purdy,3.5,3.5,0.0
18,5,Meryl Davis,6.0,5.0,1.0
18,5,Drew Carey,9.5,8.0,1.5
18,5,Cody Simpson,9.5,10.0,-0.5
18,5,NeNe Leakes,7.0,6.0,1.0
18,6,Billy Dee Williams,5.0,8.0,-3.0
18,6,Danica McKellar,3.5,3.5,0.0
18,6,James Maslow,6.0,5.0,1.0
18,6,Candace Cameron Bure,8.0,7.0,1.0
18,6,Charlie White,3.5,3.5,0.0
18,6,Amy Purdy,2.0,2.0,0.0
18,6,Meryl Davis,1.0,1.0,0.0
18,6,Drew Carey,9.0,9.0,0.0
18,6,NeNe Leakes,7.0,6.0,1.0
18,7,Billy Dee Williams,4.5,7.0,-2.5
18,7,Danica McKellar,4.5,4.0,0.5
18,7,James Maslow,7.0,6.0,1.0
18,7,Candace Cameron Bure,3.0,3.0,0.0
18,7,Charlie White,6.0,5.0,1.0
18,7,Amy Purdy,2.0,2.0,0.0
18,7,Meryl Davis,1.0,1.0,0.0
18,7,NeNe Leakes,8.0,8.0,0.0
18,8,Billy Dee Williams,3.0,6.0,-3.0
18,8,Danica McKellar,6.0,7.0,-1.0
